Name,Id,Level,Hp,BaseExp,JobExp,Size,Race,Element,Custom
Sniper Cecil,1809,99,1349000,368370000,137340000,Medium,DemiHuman,Wind4,False
High Wizard Kathryne,1810,99,1069920,360738000,147303000,Medium,DemiHuman,Ghost3,False
Bandit,1811,18,641,0,0,Small,Brute,Earth1,False
Delightful Lude,1812,10,20,0,0,Small,Undead,Undead1,False
Hydrolancer,1813,99,1880000,216000000,90000000,Large,Angel,Ghost1,False
Moonlight Flower,1814,80,30000,1485000,1350000,Medium,Brute,Fire3,False
Rice Cake,1815,12,777,300,300,Medium,Formless,Neutral1,False
Gourd,1816,12,1000,0,0,Medium,Formless,Neutral1,False
Detarderous,1817,99,8880000,243000000,112500000,Large,Angel,Ghost2,False
Alarm,1818,58,10647,0,0,Medium,Formless,Neutral3,False
Bathory,1819,86,5242,0,0,Medium,DemiHuman,Dark1,False
Bigfoot,1820,29,587,0,0,Large,Brute,Earth1,False
Desert Wolf,1821,103,9447,0,0,Medium,Brute,Fire1,False
Deviruchi,1822,64,2300,0,0,Small,Demon,Dark1,False
Freezer,1823,94,9990,0,0,Medium,Brute,Water2,False
Baby Hatii,1824,94,10016,0,0,Medium,Brute,Water2,False
Christmas Goblin,1825,25,1176,0,0,Medium,DemiHuman,Wind1,False
Myst,1826,39,879,0,0,Large,Formless,Poison1,False
Sasquatch,1827,30,3163,0,0,Large,Brute,Neutral3,False
Gullinbrusti,1828,20,20,0,0,Large,Brute,Earth2,False
Sword Guardian,1829,133,70000,292500,185500,Large,DemiHuman,Neutral4,False
Bow Guardian,1830,132,63000,285500,181100,Large,DemiHuman,Neutral4,False
Salamander,1831,138,80390,384700,392500,Large,Formless,Fire3,False
Ifrit,1832,146,6935000,435240000,267300000,Large,Formless,Fire4,False
Kasa,1833,135,70128,363900,423900,Large,Formless,Fire3,False
Salamander,1834,138,80390,0,0,Large,Formless,Fire3,False
Kasa,1835,135,70128,0,0,Large,Formless,Fire3,False
Magmaring,1836,110,13079,190800,182200,Small,Formless,Fire2,False
Imp,1837,129,36830,371400,357300,Small,Demon,Fire3,False
Knocker,1838,126,43900,382000,349800,Small,Demon,Earth1,False
Byrogue,1839,135,92544,502100,304800,Medium,DemiHuman,Neutral1,False
Golden Savage,1840,99,500,100,100,Large,Brute,Earth2,False
Snake Lord's Minion,1841,15,10,100,100,Medium,Brute,Earth1,False
Snake Lord's Minion,1842,23,15,100,100,Medium,Brute,Poison1,False
Snake Lord's Minion,1843,43,18,100,100,Medium,Brute,Poison1,False
Snake Lord's Minion,1844,47,25,100,100,Large,Demon,Dark1,False
Treasure Box,1845,98,500,0,0,Small,Formless,Neutral1,False
Dream Metal,1846,90,1499,100,100,Small,Formless,Holy1,False
Poring,1847,98,10000500,54000000,45000000,Medium,Angel,Ghost1,False
Baphomet,1848,50,45000,45000,45000,Large,Demon,Dark3,False
Osiris,1849,60,125000,90000,90000,Medium,Undead,Undead4,False
Orc Hero,1850,50,175000,135000,135000,Large,DemiHuman,Earth4,False
Mobster,1851,61,7991,0,0,Medium,DemiHuman,Neutral1,False
Angeling,1852,99,120,0,0,Small,Angel,Holy3,False
Deviling,1853,99,120,0,0,Small,Angel,Holy3,False
Muka,1854,17,610,12300,5400,Large,Plant,Earth1,False
Poison Spore,1855,19,665,16700,8400,Medium,Plant,Poison1,False
Magnolia,1856,26,3195,35400,22300,Small,Demon,Water1,False
Marin,1857,15,742,2900,2000,Medium,Plant,Water2,False
Plankton,1858,10,354,2100,1600,Small,Plant,Water3,False
Mandragora,1859,12,405,4100,2900,Medium,Plant,Earth3,False
Coco,1860,17,817,5400,3500,Small,Brute,Earth1,False
Choco,1861,43,4278,56900,56900,Small,Brute,Fire1,False
Martin,1862,18,1109,6000,3800,Small,Brute,Earth2,False
Spring Rabbit,1863,25,4500,0,0,Medium,Brute,Earth2,False
Zombie Slaughter,1864,124,40440,343000,284100,Medium,Undead,Undead3,False
Ragged Zombie,1865,123,38574,340400,281800,Medium,Undead,Undead3,False
Hellhound,1866,115,17168,224600,215000,Small,Demon,Dark1,False
Banshee,1867,130,48666,373900,359800,Medium,Demon,Dark2,False
Banshee,1868,130,48666,0,0,Medium,Demon,Dark2,False
Flame Skull,1869,121,21276,274300,307600,Small,Demon,Ghost3,False
Necromancer,1870,133,91304,299000,328900,Medium,Undead,Undead4,False
Falling Bishop,1871,138,5655000,175500000,103950000,Medium,Demon,Dark2,False
Hell Fly,1872,127,502000,0,0,Medium,Angel,Neutral4,False
Beelzebub,1873,147,6805000,0,0,Small,Demon,Ghost4,False
Beelzebub,1874,147,4805000,458250000,387750000,Large,Demon,Ghost4,False
Tristan III,1875,80,43000,100,100,Medium,Undead,Undead4,False
Lord of the Dead,1876,99,99000000,7092500,1950500,Large,Demon,Dark3,False
Crystal,1877,1,15,0,0,Small,Formless,Neutral1,False
Mystic Plant,1878,1,20,0,0,Small,Plant,Holy1,False
Eclipse,1879,6,1800,0,0,Medium,Brute,Neutral3,False
Leshij,1880,81,5499,100100,88900,Medium,Plant,Earth3,False
Lesavka,1881,82,6216,101800,90500,Medium,Plant,Earth4,False
Baba-Yaga,1882,87,6498,105200,98700,Medium,DemiHuman,Water1,False
Kikimora,1883,85,7140,101800,95300,Medium,DemiHuman,Water3,False
Mavka,1884,84,5421,105200,93700,Medium,Plant,Earth3,False
Gopinich,1885,97,1120500,42854400,29016000,Large,Brute,Earth3,False
Mavka,1886,84,5421,0,0,Medium,Plant,Earth3,False
Freezer,1887,94,9990,0,0,Medium,Brute,Water2,False
Baby Hatii,1888,61,15199,4500,4500,Medium,Brute,Water2,False
Marozka's Guard,1889,73,100000,49500,45000,Large,Brute,Water4,False
The Immortal Koshei,1890,85,599321,49500,45000,Large,Brute,Earth3,False
Valkyrie,1891,141,1005000,0,0,Large,Angel,Holy4,False
Lolo Ruri,1892,109,15280,0,0,Large,Demon,Dark4,False
Abysmal Knight,1893,122,23297,0,0,Large,DemiHuman,Dark4,False
Pouring,1894,15,777,300,300,Small,Plant,Water3,False
Seyren Windsor,1895,91,88902,0,0,Medium,Demon,Fire3,False
Kathryne Keyron,1896,92,47780,0,0,Medium,DemiHuman,Ghost3,False
Baphomet,1897,81,668000,0,0,Large,Demon,Dark3,False
Zombie,1898,12,434,0,0,Medium,Undead,Undead1,False
Sword Guardian,1899,133,70000,0,0,Large,DemiHuman,Neutral4,False
Archer Guardian,1900,80,80404,0,0,Large,DemiHuman,Neutral4,False
Condor,1901,10,15,4500,4500,Small,Brute,Holy1,False
Treasure Box,1902,99,49,0,0,Small,Formless,Holy1,False
Treasure Box,1903,99,49,0,0,Small,Formless,Holy1,False
Bomb Poring,1904,28,1000000,20700,12800,Small,Formless,Neutral1,False
Barricade,1905,98,600500,0,0,Large,Formless,Neutral1,False
Barricade,1906,98,600,0,0,Large,Formless,Neutral1,False
Guardian Stone,1907,90,120500,0,0,Small,Formless,Neutral1,False
Guardian Stone,1908,90,120500,0,0,Small,Formless,Neutral1,False
Food Storage,1909,90,750,0,0,Large,Formless,Neutral1,False
Food Depot,1910,90,750,0,0,Large,Formless,Neutral1,False
Neutrality Flag,1911,90,650,0,0,Large,Formless,Neutral1,False
Lion Flag,1912,90,650,0,0,Large,Formless,Neutral1,False
Eagle Flag,1913,90,650,0,0,Large,Formless,Neutral1,False
Blue Crystal,1914,90,750,0,0,Large,Formless,Neutral1,False
Pink Crystal,1915,90,750,0,0,Large,Formless,Neutral1,False
Satan Morroc,1916,151,7000000,0,0,Large,Demon,Dark4,False
Wounded Morroc,1917,151,5000000,263250000,167310000,Large,Demon,Dark4,False
Incarnation of Morroc,1918,132,63900,285500,181100,Large,Angel,Dark1,False
Incarnation of Morroc,1919,132,64922,331100,210100,Medium,Demon,Dark3,False
Incarnation of Morroc,1920,133,94800,339300,207900,Medium,Demon,Undead3,False
Incarnation of Morroc,1921,134,77389,299500,223000,Medium,Demon,Ghost3,False
Shadow of Morroc,1922,132,63900,0,0,Large,Angel,Dark1,False
Shadow of Morroc,1923,132,64922,0,0,Medium,Demon,Dark3,False
Shadow of Morroc,1924,133,94800,0,0,Medium,Demon,Undead3,False
Shadow of Morroc,1925,134,77389,0,0,Medium,Demon,Ghost3,False
Jakk,1926,1,1000,0,0,Medium,Formless,Fire2,False
Whisper,1927,1,1000,0,0,Small,Demon,Ghost3,False
Deviruchi,1928,46,500,0,0,Small,Demon,Dark1,False
Unsealed Baphomet,1929,98,4520500,244080000,113400000,Large,Demon,Dark3,False
Piamette,1930,90,3000500,0,0,Small,DemiHuman,Neutral1,False
Wish Maiden,1931,98,3567700,0,0,Large,Angel,Ghost1,False
Garden Keeper,1932,80,100,0,0,Small,Formless,Earth2,False
Garden Watcher,1933,81,300000,0,0,Medium,Angel,Neutral4,False
Blue Flower,1934,98,10500,0,0,Medium,Plant,Earth1,False
Red Flower,1935,98,10500,0,0,Medium,Plant,Earth1,False
Yellow Flower,1936,98,10500,0,0,Medium,Plant,Earth1,False
Constant,1937,108,11000,0,0,Small,Formless,Dark3,False
Treasure Chest,1938,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1939,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1940,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1941,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1942,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1943,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1944,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1945,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1946,99,0,0,0,Small,Formless,Neutral1,False
Piamette,1947,90,500500,0,0,Small,DemiHuman,Neutral1,False
Egnigem Cenia,1948,136,40327,0,0,Medium,DemiHuman,Fire2,False
Camp Guardian,1949,86,457599,0,0,Large,DemiHuman,Neutral4,False
Camp Guardian,1950,80,241212,0,0,Large,DemiHuman,Neutral4,False
Crystal,1951,1,15,0,0,Small,Formless,Neutral1,False
Crystal,1952,1,15,0,0,Small,Formless,Neutral1,False
Crystal,1953,1,15,0,0,Small,Formless,Neutral1,False
Crystal,1954,1,15,0,0,Small,Formless,Neutral1,False
Treasure Chest,1955,1,1,0,0,Small,Formless,Neutral1,False
Naght Sieger,1956,99,5000000,216000000,90000000,Large,Demon,Ghost4,False
Entweihen Crothen,1957,90,2400500,78650000,60750000,Medium,Demon,Dark4,False
Thorny Skeleton,1958,89,5400000,0,0,Small,Demon,Dark4,False
Thorn of Recovery,1959,89,350000,0,0,Small,Demon,Ghost4,False
Thorn of Magic,1960,89,5400000,0,0,Small,Demon,Dark4,False
Thorn of Purification,1961,89,5400000,0,0,Small,Demon,Dark4,False
Christmas Thief,1962,10,15,0,0,Medium,DemiHuman,Neutral1,False
New Year Doll,1963,49,23900,107800,44700,Medium,DemiHuman,Neutral2,False
Nightmare,1964,30,2000,23000,17400,Large,Brute,Ghost3,False
Wild Rose,1965,38,4000,0,0,Small,Brute,Wind1,False
Doppelganger,1966,72,7800,0,0,Medium,Demon,Dark3,False
Egnigem Cenia,1967,79,7800,0,0,Medium,DemiHuman,Fire2,False
Strouf,1968,48,11990,277200,188800,Large,Fish,Water3,False
Marc,1969,36,6900,88900,56200,Medium,Fish,Water2,False
Obeune,1970,31,3952,57900,36600,Medium,Fish,Water2,False
Vadon,1971,19,5000,12100,7600,Small,Fish,Water1,False
Marina,1972,21,2087,19600,12600,Small,Plant,Water2,False
Poring,1973,99,10,200,100,Medium,Plant,Water1,False
Banshee Master,1974,118,20320,260600,249800,Medium,Demon,Dark2,False
Beholder Master,1975,106,10135,182400,173800,Medium,Formless,Wind2,False
Cobalt Mineral,1976,113,15800,220200,210600,Medium,Formless,Neutral2,False
Heavy Metaling,1977,107,11500,184500,175900,Small,Formless,Neutral1,False
Hell Vesper,1978,121,22100,304700,292400,Large,Formless,Neutral3,False
Zakudam,1979,115,17200,224600,215000,Large,DemiHuman,Neutral3,False
Kublin,1980,85,633600,4950000,4500000,Medium,DemiHuman,Earth1,False
Orc Elite Guard,1981,81,44193,0,0,Large,DemiHuman,Fire2,False
Orc Bowman,1982,78,54835,0,0,Medium,DemiHuman,Earth1,False
Orc Undead,1983,87,80087,0,0,Medium,Undead,Undead1,False
Orc Lady,1984,80,50058,0,0,Medium,DemiHuman,Earth2,False
Dandelion Member,1985,37,45000,0,0,Medium,DemiHuman,Dark2,False
Tatacho,1986,128,33336,387300,354800,Medium,Brute,Earth1,False
Centipede,1987,125,24992,314300,302000,Medium,Insect,Poison2,False
Nepenthes,1988,114,15099,222400,212800,Medium,Plant,Poison2,False
Hillthrion,1989,123,21422,324900,297200,Small,Brute,Earth1,False
Hardrock Mammoth,1990,137,1900944,9249000,4464700,Large,Brute,Earth3,False
Tendrillion,1991,126,1397451,6550200,4141300,Medium,Brute,Earth2,False
Cornus,1992,120,20722,265200,254400,Medium,Brute,Holy3,False
Naga,1993,117,21099,271200,247500,Large,Brute,Earth2,False
Luciola Vespa,1994,109,12466,188700,180100,Medium,Insect,Wind1,False
Pinguicula,1995,105,13058,170600,154700,Medium,Plant,Earth3,False
Tatacho,1997,128,33336,0,0,Medium,Brute,Earth1,False
Hillslion,1998,123,21422,0,0,Small,Brute,Earth1,False
Centipede Larva,1999,118,20667,260600,249800,Small,Insect,Poison1,False
Male Game Master,2000,50,7000,0,0,Medium,DemiHuman,Neutral1,False
Female Game Master,2001,50,7000,0,0,Medium,DemiHuman,Neutral1,False
Talisman Ghost,2002,50,8000,179200,79400,Medium,Brute,Earth2,False
Talisman Ghost,2003,97,720500,0,0,Large,DemiHuman,Water2,False
Talisman Ghost,2004,63,16029,0,0,Medium,Demon,Dark3,False
Plasma,2005,44,8200,0,0,Small,Formless,Water4,False
Plasma,2006,49,5900,0,0,Small,Formless,Dark4,False
Plasma,2007,43,5700,0,0,Small,Formless,Fire4,False
Woomawang,2008,82,4000000,4950000,4500000,Large,Demon,Ghost2,False
Woomawang,2009,82,2000000,4950000,4500000,Medium,Demon,Ghost2,False
Ox,2010,66,500000,400,400,Large,Demon,Ghost1,False
Tenacious Ghoul,2011,40,99999,48900,28000,Medium,Undead,Undead2,False
Tenacious Zombie,2012,15,99999,2200,1500,Medium,Undead,Undead1,False
Draco,2013,114,20099,233500,212800,Medium,Dragon,Earth1,False
Draco Egg,2014,101,100000,120000,99000,Medium,Dragon,Earth4,False
Dark Pinguicula,2015,113,17002,220200,210600,Medium,Plant,Poison2,False
Aqua Elemental,2016,121,33209,304700,292400,Large,Formless,Water4,False
Rata,2017,131,58299,506100,403700,Medium,DemiHuman,Earth3,False
Duneyrr,2018,135,63342,559000,481500,Medium,DemiHuman,Earth3,False
Ancient Tree,2019,144,388933,475000,361600,Large,Plant,Earth3,False
Rhyncho,2020,139,337220,396900,302000,Medium,Formless,Water3,False
Phylla,2021,139,345560,396900,302000,Medium,Formless,Water3,False
Nidhoggur's Shadow,2022,117,3452000,280800000,193050000,Large,Dragon,Dark4,False
Dark Shadow,2023,147,434300,495900,377500,Small,Formless,Dark2,False
Bradium Golem,2024,133,45739,425900,237100,Large,Formless,Earth2,False
Wild Gift Box,2025,10,10,3800,3800,Medium,Formless,Neutral1,False
Runaway Dandelion Member,2026,90,552500,2475000,1125000,Medium,DemiHuman,Dark1,False
Dark Shadow,2027,147,434300,0,0,Small,Formless,Dark2,False
Hiden Priest,2030,90,240500,0,0,Large,Demon,Undead4,False
Dandelion,2031,80,120000,0,0,Medium,DemiHuman,Dark2,False
Forest Guardian,2032,50,99999,0,0,Small,Demon,Dark1,False
Golden Tulip,2033,1,100,0,0,Small,Plant,Earth1,False
Nihility Zem,2035,90,200500,0,0,Small,Insect,Earth1,False
Valkyrie Randgris,2036,98,11780,0,0,Medium,Undead,Undead3,False
Executioner,2039,65,28980,0,0,Large,Formless,Dark2,False
Ogretooth,2040,71,29900,0,0,Medium,Formless,Dark3,False
Mysteltainn,2041,76,33350,0,0,Large,Formless,Dark4,False
Silver Sniper,2042,100,4500,0,0,Medium,Formless,Neutral1,False
Magic Decoy,2043,100,2500,0,0,Medium,Formless,Fire1,False
Magic Decoy,2044,100,2500,0,0,Medium,Formless,Water1,False
Magic Decoy,2045,100,2500,0,0,Medium,Formless,Earth1,False
Magic Decoy,2046,100,2500,0,0,Medium,Formless,Wind1,False
Naga,2047,99,46708,0,0,Large,Brute,Earth2,False
Dark Pinguicula,2048,99,8780,0,0,Medium,Plant,Poison2,False
Bradium Golem,2049,99,45200,0,0,Large,Formless,Earth2,False
Aqua Elemental,2050,99,33220,0,0,Large,Formless,Water4,False
Dark Lord,2052,96,100000000,42854400,27900000,Large,Demon,Undead4,False
Strange Mouse,2057,1,4720,0,0,Small,Brute,Poison2,False
Anopheles,2066,5,50,100,100,Small,Insect,Wind3,False
Anopheles,2067,3,500,100,100,Small,Insect,Wind3,False
Boitata,2068,93,1283990,4457300,3897500,Large,Brute,Fire3,False
Iara,2069,79,5890,85400,79400,Medium,Fish,Water3,False
Piranha,2070,75,4522,79400,73400,Large,Fish,Water3,False
Headless Mule,2071,80,6620,86900,80900,Large,Demon,Fire3,False
Jaguar,2072,71,3914,77400,67800,Medium,Brute,Earth2,False
Toucan,2073,70,3640,67700,62100,Medium,Brute,Wind2,False
Curupira,2074,68,3096,68300,59500,Medium,DemiHuman,Earth1,False
Ragunta,2075,99,53822010,999999900,999999900,Large,Formless,Ghost4,False
Shadow of Deception,2076,105,190800,0,0,Medium,Demon,Wind3,False
Shadow of Illusion,2077,105,244400,0,0,Medium,Demon,Dark3,False
Shadow of Pleasure,2078,105,206660,0,0,Medium,Demon,Dark3,False
Crystal,2079,77,7777777,207777700,188888800,Large,Formless,Neutral3,False
Crystal,2080,15,1250,36100,29300,Large,Formless,Neutral3,False
Strange Hydra,2081,34,854,0,0,Small,Plant,Water2,False
Piranha,2082,75,4522,0,0,Large,Fish,Water3,False
One-Horned Scaraba,2083,130,51100,261000,264600,Small,Insect,Earth1,False
Two-Horned Scaraba,2084,134,58900,289000,300000,Small,Insect,Earth1,False
Antler Scaraba,2085,136,62600,316500,346700,Medium,Insect,Earth2,False
Rake Scaraba,2086,139,67700,349500,395500,Medium,Insect,Earth2,False
Scaraba Queen,2087,140,2441600,26664300,11671000,Large,Insect,Earth3,False
Scaraba Egg,2088,125,63000,260000,198000,Small,Insect,Neutral1,False
Scaraba Egg,2089,126,66000,260000,198000,Small,Insect,Neutral1,False
Antler Scaraba Egg,2090,127,69000,260000,198000,Small,Insect,Neutral1,False
Rake Scaraba Egg,2091,128,72000,260000,198000,Small,Insect,Neutral1,False
Dolomedes,2092,132,54591,335100,340100,Large,Insect,Water3,False
Botaring,2093,15,15,300,300,Small,Formless,Holy1,False
Orc Hero,2094,50,362000,100500,100500,Large,DemiHuman,Earth2,False
Eddga,2095,65,947500,100500,100500,Large,Brute,Fire1,False
Osiris,2096,68,475840,100500,100500,Medium,Undead,Undead4,False
Dracula,2097,75,350000,110500,100500,Large,Demon,Dark4,False
Doppelganger,2098,77,380000,110500,100500,Medium,Demon,Dark3,False
Mistress,2099,78,378000,100500,100500,Small,Insect,Wind4,False
Baphomet,2100,81,668000,110500,100500,Large,Demon,Dark3,False
Lord of the Dead,2101,94,603883,120600,100500,Large,Demon,Dark3,False
Dark Lord,2102,96,1190900,120600,100500,Large,Demon,Undead4,False
Ktullanux,2103,98,2626000,120600,100500,Large,Brute,Water4,False
Evil Snake Lord,2104,105,1101000,120600,110500,Large,Brute,Ghost3,False
Turtle General,2105,110,1442000,120600,110500,Large,Brute,Earth2,False
Vesper,2106,128,3802000,130600,110500,Large,Brute,Holy2,False
Fallen Bishop Hibram,2107,138,5655000,130600,110500,Medium,Demon,Dark2,False
Gloom Under Night,2108,139,3005000,130600,110500,Large,Formless,Ghost3,False
Valkyrie Randgris1,2109,141,3205000,130600,110500,Large,Angel,Holy4,False
Ifrit,2110,146,6935000,130600,110500,Large,Formless,Fire4,False
Whitesmith Howard,2111,160,6750000,130600,110500,Medium,DemiHuman,Earth4,False
Lord Knight Seyren,2112,160,4680000,130600,110500,Medium,DemiHuman,Fire4,False
Assassin Cross Eremes,2113,160,4230000,130600,110500,Medium,DemiHuman,Poison4,False
Anopheles,2126,100,8000,0,0,Small,Insect,Wind3,False
Hornet,2127,110,9000,0,0,Small,Insect,Wind1,False
Hornet,2128,120,10000,0,0,Small,Insect,Wind1,False
Luciola Vespa,2129,130,11000,0,0,Medium,Insect,Wind1,False
Luciola Vespa,2130,140,12000,0,0,Medium,Insect,Wind1,False
Lost Dragon,2131,135,608920,1950000,1980000,Large,Dragon,Dark3,False
Pom Spider,2132,145,122110,520600,530300,Medium,Insect,Earth3,False
Angra Mantis,2133,144,91720,506300,463300,Medium,Insect,Earth2,False
Parus,2134,142,86990,475100,461300,Small,Brute,Earth2,False
Creeper,2135,100,1000,0,0,Medium,Plant,Earth1,False
Little Fatum,2136,142,85100,487500,429000,Small,DemiHuman,Wind2,False
Miming,2137,140,81200,461500,415800,Small,Formless,Neutral1,False
Nydhoggur Memory,2138,130,10,0,0,Small,Formless,Neutral1,False
Nydhoggur Memory,2139,130,10,0,0,Small,Formless,Neutral1,False
Nydhoggur Memory,2140,130,10,0,0,Small,Formless,Neutral1,False
Nydhoggur Memory,2141,130,10,0,0,Small,Formless,Neutral1,False
Nydhoggur Memory,2142,130,10,0,0,Small,Formless,Neutral1,False
Nydhoggur Memory,2143,130,10,0,0,Small,Formless,Neutral1,False
Antler Scaraba,2144,136,62600,0,0,Medium,Insect,Earth2,False
Rake Scaraba,2145,139,67700,0,0,Medium,Insect,Earth2,False
Shade of Dragon,2146,117,300000,0,0,Large,Dragon,Dark4,False
White Plant,2147,1,60,2700,2000,Medium,Plant,Water1,False
Blue Plant,2148,1,60,2700,2000,Medium,Plant,Water1,False
Savage Babe,2149,1,60,2700,2000,Medium,Plant,Water1,False
Ripe Watermelon,2150,12,10,0,0,Medium,Plant,Water1,False
Rafflesia Alnoldi,2151,80,5149,91200,80900,Medium,Plant,Earth1,False
Comodo,2152,81,4002,95400,88900,Medium,Brute,Poison3,False
Cendrawasih,2153,84,5556,100200,93700,Medium,Angel,Wind1,False
Banaspaty,2154,85,4680,101800,95300,Small,Formless,Fire3,False
Butoijo,2155,88,7524,106900,100400,Large,Demon,Fire2,False
Leak,2156,94,1266000,23640000,15006000,Large,Demon,Dark2,False
Banaspaty,2157,85,4680,0,0,Small,Formless,Fire3,False
Hornet,2158,95,5000,0,0,Small,Insect,Wind1,False
Giant Hornet,2159,110,11960,0,0,Small,Insect,Wind1,False
Luciola Vespa,2160,130,16466,0,0,Medium,Insect,Wind1,False
Gold One-Horn Scaraba,2161,130,204400,894000,882400,Small,Insect,Earth1,False
Gold Two-Horn Scaraba,2162,134,235600,1006000,1000700,Small,Insect,Earth1,False
Gold Antler Scaraba,2163,136,250400,1016000,1156100,Medium,Insect,Earth2,False
Gold Rake Scaraba,2164,139,270800,1148000,1318900,Medium,Insect,Earth2,False
Gold Queen Scaraba,2165,140,6441600,60511000,33671000,Large,Insect,Earth3,False
Gold One-Horn Scaraba Egg,2166,125,126000,600000,594000,Small,Insect,Earth1,False
Gold Two-Horn Scaraba Egg,2167,126,132000,600000,594000,Small,Insect,Earth1,False
Gold Antler Scaraba Egg,2168,127,138000,600000,594000,Small,Insect,Earth1,False
Gold Rake Scaraba Egg,2169,128,144000,600000,594000,Small,Insect,Earth1,False
Gold Antler Scaraba,2170,136,250400,0,0,Medium,Insect,Earth2,False
Gold Rake Scaraba,2171,139,270800,0,0,Medium,Insect,Earth2,False
Gold One-Horn Scaraba,2172,130,204400,0,0,Small,Insect,Earth1,False
Gold Two-Horn Scaraba,2173,134,235600,0,0,Small,Insect,Earth1,False
Deep Sea Vadon,2174,95,120000,75000,75000,Small,Fish,Water1,False
Deep Sea Marse,2175,95,120000,75000,75000,Small,Fish,Water2,False
Deep Sea Crab,2176,95,120000,75000,75000,Small,Fish,Water1,False
Deep Sea Cornutus,2177,100,160000,75000,82500,Small,Fish,Water1,False
Deep Sea Shellfish,2178,100,160000,75000,82500,Small,Fish,Water2,False
Deep Sea Kukre,2179,100,160000,75000,82500,Small,Insect,Water1,False
Deep Sea Strouf,2180,145,400000,100000,110000,Large,Fish,Water3,False
Deep Sea Sword Fish,2181,145,400000,100000,110000,Large,Fish,Water2,False
Deep Sea Marc,2182,145,400000,100000,110000,Medium,Fish,Water2,False
Deep Sea Anolian,2183,151,700000,110000,121000,Medium,Fish,Water2,False
Deep Sea Obeaune,2184,151,700000,110000,121000,Medium,Demon,Water3,False
Deep Sea Kapha,2185,151,700000,110000,121000,Medium,Demon,Water2,False
Coelacanth,2186,100,1200000,20000000,22000000,Large,Fish,Water2,False
Gloomy Coelacanth,2187,100,2200000,50000000,55000000,Large,Fish,Water2,False
Weird Coelacanth,2188,100,2200000,50000000,55000000,Large,Fish,Water2,False
Mutant Coelacanth,2189,155,5200000,150000000,165000000,Large,Fish,Water2,False
Violent Coelacanth,2190,155,5200000,150000000,165000000,Large,Fish,Water2,False
Seaweed,2191,100,100000,0,0,Small,Fish,Water1,False
Octopus,2192,90,6000,200000,100000,Small,Fish,Water2,False
Octopus Leg,2193,90,500000,200000,100000,Small,Fish,Water2,False
Giant Octopus,2194,95,500000,2000000,1000000,Large,Fish,Water2,False
Kukre,2195,100,160000,0,0,Small,Insect,Water1,False
Strouf,2196,145,400000,0,0,Large,Fish,Water3,False
Red Eruma,2197,91,9900,122000,114900,Medium,Fish,Water2,False
King Dramoh,2198,117,28800,258300,247500,Large,Fish,Water2,False
Siorava,2199,87,6500,105200,98700,Small,Formless,Water1,False
Taini,2200,1,1,0,0,Small,Formless,Neutral1,False
Sropho,2201,113,24002,220200,210600,Medium,Fish,Water2,False
Kraken,2202,124,5602800,98333200,105722200,Large,Fish,Water4,False
Pot Dofle,2203,115,25211,224600,215000,Small,Fish,Water2,False
Sedora,2204,110,22050,190800,182200,Medium,Fish,Water2,False
Kraken Tentacle,2206,124,39190,0,0,Large,Fish,Water3,False
Wild Rider,2208,95,33300,415000,165000,Large,Fish,Water2,False
Thief Bug,2209,1,60,2700,2000,Medium,Plant,Water1,False
Christmas Snow Rabbit,2210,1,60,2700,2000,Medium,Plant,Water1,False
Christmas Teddy Bear,2211,1,60,2700,2000,Medium,Plant,Water1,False
Stormy Knight,2212,92,100000000,24828000,15110000,Large,Formless,Wind4,False
Wanderer,2213,81,8614,2700,2000,Medium,Demon,Wind1,False
Evil Nymph,2214,85,6157,2700,2000,Medium,Demon,Dark3,False
Kasa,2215,83,9815,2700,2000,Large,Formless,Fire3,False
Salamander,2216,87,9517,2700,2000,Large,Formless,Fire3,False
Teddy Bear,2217,85,14493,2700,2000,Small,Formless,Neutral3,False
Octopus Tentacle,2218,1,60,2700,2000,Medium,Plant,Water1,False
Giant Octopus,2219,1,60,2700,2000,Medium,Plant,Water1,False
Messenger of Devil,2220,1,60,2700,2000,Medium,Plant,Water1,False
Randel,2221,141,478745,3236700,3175200,Medium,DemiHuman,Holy3,False
Flamel,2222,141,316468,2639700,3046500,Medium,DemiHuman,Fire3,False
Celia,2223,141,253145,2210700,2510200,Medium,DemiHuman,Ghost3,False
Chen,2224,141,279562,2568400,2614900,Medium,Demon,Water4,False
Gertie,2225,141,266926,2426700,2670600,Medium,Demon,Poison4,False
Alphoccio,2226,142,256202,2219200,2682400,Medium,DemiHuman,Wind3,False
Trentini,2227,142,204962,1599500,1748600,Medium,DemiHuman,Wind3,False
Paladin Randel,2228,160,3163000,1800000,1000000,Medium,DemiHuman,Holy4,False
Creator Flamel,2229,160,2531750,1800000,1000000,Medium,DemiHuman,Fire4,False
Professor Celia,2230,160,2025160,1800000,1000000,Medium,DemiHuman,Ghost3,False
